"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.557677750E0	-3.311267032E-2	-5.759571372E-2	-4.042063236E-1	4.096296708E-1
2.567639750E0	1.964207646E-3	-7.371841320E-1	-4.709382570E-1	8.747726244E-1
2.577600750E0	-3.270843266E-1	-8.399031926E-1	1.656637232E0	1.885966184E0
2.587562750E0	-4.543226993E-1	-2.650204630E-1	-7.269550860E-2	5.309704304E-1
2.597524750E0	1.279328301E-2	6.990722727E-1	-4.576277722E0	4.629382626E0
2.607486750E0	-2.017976265E-1	-5.027830340E-1	-3.732406390E-1	6.578918117E-1
2.617447750E0	-3.790981603E-1	-1.381227089E0	2.999109414E0	3.323576531E0
2.627409750E0	-3.240327378E-1	-1.988438507E-1	9.911024684E-1	1.061517873E0
2.637371750E0	6.125127234E-1	3.610954970E-1	-1.251788884E0	1.439630926E0
2.647332750E0	2.661185153E-1	-9.623666194E-1	-3.985760397E-1	1.075096011E0
2.657294750E0	-7.787325460E-2	-8.772218040E-1	2.117885483E0	2.293691622E0
2.667256750E0	7.189082940E-1	4.335367339E-2	-3.749562120E-1	8.119734214E-1
2.677217750E0	-1.282117332E-1	9.359520237E-2	1.564171702E0	1.572205910E0
2.687179750E0	-8.651267653E-1	-1.462493738E0	1.124462839E0	2.037584092E0
2.697141750E0	5.930073987E-1	-6.443310052E-1	-3.115159103E0	3.235898091E0
2.707102750E0	-1.026580449E0	6.822547303E-1	-2.330738751E0	2.636604267E0
2.717064750E0	-2.060975045E-1	-5.201846401E-1	6.151042825E-1	8.315176002E-1
2.727026750E0	3.811084331E-1	-8.720512573E-1	4.366657965E0	4.469163100E0
2.736987750E0	-9.954848834E-1	-9.508730217E-2	-1.279518719E0	1.623945781E0
2.746949750E0	9.947829983E-1	-1.649889289E-1	-5.807774429E0	5.894663551E0
2.756911750E0	-3.194241817E-1	-5.584384679E-2	2.045171263E0	2.070718677E0
2.766872750E0	-2.193323482E-2	-8.773363363E-1	3.819346885E0	3.918878761E0
2.776834750E0	1.135577739E0	-3.015769629E-1	-2.151816875E0	2.451693564E0
2.786796750E0	-5.530249055E-1	1.747364932E-1	-1.713747572E0	1.809226389E0
2.796757750E0	2.009323300E-1	-4.225802486E-1	4.269902333E0	4.295464329E0
2.806719750E0	8.051520936E-1	-7.393877283E-1	2.921834950E0	3.119628757E0
2.816681750E0	9.598188414E-1	3.151500133E-1	-3.791462683E0	3.923743240E0
2.826642750E0	-1.138233982E0	-1.006977732E0	-2.709638910E0	3.106722352E0
2.836604750E0	-4.180556001E-1	-6.314460077E-1	-4.414571804E-1	8.765722945E-1
2.846566750E0	2.243615932E-1	6.462697227E-1	3.317462824E0	3.387264718E0
2.856528750E0	-1.969393395E-1	-7.400360383E-1	-2.134046602E0	2.267287662E0
2.866489750E0	1.787311099E-1	-7.481223721E-1	-2.321700125E0	2.445797081E0
2.876451750E0	-1.786364581E-1	-3.665593911E-1	3.707604255E0	3.729960601E0
2.886413750E0	4.442881464E-1	-1.278556195E-1	2.055751215E0	2.107095649E0
2.896374750E0	6.391685716E-1	-9.042042922E-1	-1.384643471E0	1.772952172E0
2.906336750E0	-1.177303616E0	-2.546109939E-1	-2.981501108E-1	1.240872294E0
2.916298750E0	7.634216850E-1	-6.250383364E-1	1.214343315E0	1.564645416E0
2.926259750E0	5.505764936E-1	3.008398620E-2	1.627743216E0	1.718600447E0
2.936221750E0	-8.804648890E-1	-7.929242501E-1	-4.604198177E0	4.754217931E0
2.946183750E0	-3.607119562E-1	-5.612821242E-1	-6.247428328E-1	9.140319171E-1
2.956144750E0	4.027222272E-1	1.452990241E-1	2.391329938E0	2.429352974E0
2.966106750E0	2.664440591E-1	-3.291815767E-1	3.714753646E-1	5.633355070E-1
2.976068750E0	-9.763942359E-1	-5.372722142E-1	-1.494020902E0	1.863895274E0
2.986029750E0	7.526715790E-1	-7.730072448E-1	6.124151480E-1	1.240607520E0
2.995991750E0	-1.628624519E-2	1.045541544E-1	2.620265973E0	2.622401682E0
3.005953750E0	3.269918310E-1	1.303225597E-1	-1.730606264E0	1.766042374E0
3.015914750E0	-9.277997808E-1	-1.416465626E0	-7.996441627E-1	1.872596617E0
3.025876292E0	7.515265480E-1	-1.095937874E-1	2.386366822E0	2.504306203E0
3.035838292E0	-3.433128351E-1	6.118686161E-1	-2.559804009E0	2.654212401E0
